ADC_TIMER_DMA_EXPERIMENT,version=1
CONFIG,sample_rate_hz=500,duration_s=120,dma_samples=64,timing_probe=1,sw_trigger_after_rearm=0,foreground_stalls=1,print_samples=0
START
SUMMARY,elapsed_ms=25055,conversions=12527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=195,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1173,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=195,processed_samples=12480,bad_slots=0,process_max_us=54,sample_min=207,sample_mean=265,sample_max=4595,short_stalls=250,long_stalls=25
SUMMARY,elapsed_ms=26055,conversions=13027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=203,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1220,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=203,processed_samples=12992,bad_slots=0,process_max_us=54,sample_min=207,sample_mean=264,sample_max=4595,short_stalls=260,long_stalls=26
SUMMARY,elapsed_ms=27055,conversions=13527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=211,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1267,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=210,processed_samples=13440,bad_slots=0,process_max_us=54,sample_min=207,sample_mean=264,sample_max=4595,short_stalls=270,long_stalls=27
SUMMARY,elapsed_ms=28055,conversions=14027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=219,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1314,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=218,processed_samples=13952,bad_slots=0,process_max_us=54,sample_min=207,sample_mean=264,sample_max=4595,short_stalls=280,long_stalls=28
SUMMARY,elapsed_ms=29055,conversions=14527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=226,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1361,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=226,processed_samples=14464,bad_slots=0,process_max_us=54,sample_min=207,sample_mean=263,sample_max=4595,short_stalls=290,long_stalls=29
SUMMARY,elapsed_ms=30055,conversions=15027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=234,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1408,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=234,processed_samples=14976,bad_slots=0,process_max_us=54,sample_min=207,sample_mean=263,sample_max=4595,short_stalls=300,long_stalls=30
SUMMARY,elapsed_ms=31055,conversions=15527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=242,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1455,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=242,processed_samples=15488,bad_slots=0,process_max_us=54,sample_min=207,sample_mean=263,sample_max=4595,short_stalls=310,long_stalls=31
SUMMARY,elapsed_ms=32055,conversions=16027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=250,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1502,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=249,processed_samples=15936,bad_slots=0,process_max_us=54,sample_min=185,sample_mean=262,sample_max=4595,short_stalls=320,long_stalls=32
SUMMARY,elapsed_ms=33055,conversions=16527,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=258,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1549,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=257,processed_samples=16448,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=261,sample_max=4595,short_stalls=330,long_stalls=33
SUMMARY,elapsed_ms=34055,conversions=17027,interval_mean_us=2000,interval_min_us=1349,interval_max_us=2013,interval_short=1,interval_long=0,dma_completes=265,dma_complete_min_us=127992,dma_complete_max_us=128018,dma_errors=0,fifo_overruns=1595,lost_buffers=0,rearm_failures=0,rearm_max_us=10,processed_buffers=265,processed_samples=16960,bad_slots=0,process_max_us=61,sample_min=102,sample_mean=262,sample_max=4595,short_stalls=340,long_stalls=34
